ckpt_file,frames_value,command,wp_landlord,wp_farmers,adp_landlord,adp_farmers,Average consecutive plays per game,Average counter big cards per game,Average successful coordination per game,Average bomb/rocket plays per game
landlord_down_weights_8358400.ckpt,8358400,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_0/landlord_down_weights_8358400.ckpt,0.5526,0.4474,0.4552,-0.4552,9.46,5.45,11.09,0.05
landlord_down_weights_16716800.ckpt,16716800,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_0/landlord_down_weights_16716800.ckpt,0.5468,0.4532,0.419,-0.419,9.32,5.44,11.08,0.05
landlord_down_weights_25065600.ckpt,25065600,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_0/landlord_down_weights_25065600.ckpt,0.5409,0.4591,0.3842,-0.3842,9.27,5.47,11.08,0.05
landlord_down_weights_33414400.ckpt,33414400,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_0/landlord_down_weights_33414400.ckpt,0.5402,0.4598,0.3646,-0.3646,9.26,5.48,11.03,0.04
